,ax
0,4485.706826189372
1,4456.853121150798
2,4547.041469844721
3,4473.154128914306
4,4451.150620548809
5,4547.808334610637
6,4561.532402868752
7,4567.656463709219
8,4540.519303921467
9,4548.230674951516
10,4308.752844811121
11,4573.310697982884
12,4627.669467884526
13,4818.698060725857
14,4732.836762362411
15,4571.811413120624
16,4755.559921162013
17,5197.971006046173
18,5279.578790008278
19,5755.736732824255
20,5785.254941308849
21,6085.373669196186
22,5995.14978393084
23,6098.579651817806
24,6269.90674872178
25,5999.030977749336
26,5979.077141324529
27,5378.0417797312275
28,5430.855926849864
29,5448.058414456253
30,5512.290446295484
31,5621.567167344705
32,5556.910847369685
33,5570.950210216311
34,5547.22742949339
35,5578.784666390715
36,5430.938865144104
37,5624.280795831682
38,5642.721659339218
39,5594.739820933987
40,5534.437706237615
41,5626.544588900602
42,5559.068526577021
43,5519.861140229962
44,5469.03174966355
45,5489.2985627128355
46,5513.076764570109
47,5463.892622038679
48,5470.545425531519
49,5518.101337003132
50,5536.915084306924
51,5557.952365262722
52,5505.764494377961
53,5579.88411484166
54,5506.2938761441965
55,5555.28251006811
56,5511.293589453986
57,5548.461010965192
58,5547.395076143379
59,5554.99405934644
60,5540.289661585531
61,5542.721918595445
62,5546.041685025262
63,5557.056152904478
64,5561.196962798415
65,5552.084750741879
66,5551.244416955208
67,5552.00626496729
68,5560.696736384275
69,5554.941632647824
70,5556.5207142062545
71,5559.66980133977
72,5551.669367170025
73,5554.66678088262
74,5573.948554058702
75,5549.199963494294
76,5559.949908119154
77,5542.032600261248
78,5533.02212329494
79,5557.520338446849
80,5540.868737653054
81,5542.395676453171
82,5536.8784903051055
83,5535.517796513021
84,5540.676707470607
85,5549.166364278042
86,5586.22330488109
87,5557.405090399524
88,5563.023734846849
89,5562.65290682284
90,5564.898208155338
91,5550.81381514716
92,5515.51539682186
93,5509.258759200325
94,5522.433236128553
95,5543.717497644377
96,5537.294428111593
97,5534.385907140248
98,5526.508326559324
99,5513.778469284893
100,5488.2614447573205
101,5500.5025558902935
102,5496.498480443178
103,5491.558724652632
104,5505.671964396135
105,5628.0156068993865
106,5552.781961608815
107,5546.547193779991
108,5510.649526908658
109,5520.175853434262
110,5525.919280684501
111,5517.019280816381
112,5520.354286281558
113,5546.866666225735
114,5526.557424182382
115,5484.070983534424
116,5491.243367565971
117,5479.666958502825
118,5492.200188224098
119,5532.734310714759
120,5515.597886184535
121,5526.5583075661525
122,5530.635764410721
123,5520.972344908913
124,5541.312532283461
125,5541.415612853036
126,5535.968004916546
127,5536.823824357921
128,5552.910988187758
129,5538.577787793849
130,5541.159950232202
131,5545.297676363097
132,5550.884080331964
133,5528.751083856648
134,5536.898911469562
135,5560.289875877628
136,5548.343385999249
137,5560.597532055157
138,5549.103289827084
139,5553.6542986243485
140,5577.354125664738
141,5573.566159320624
142,5571.898538741911
143,5564.139546349179
144,5562.770091614738
145,5570.2412803734705
146,5561.477329214671
147,5569.065475411611
148,5571.021434444559
149,5569.660922911228
150,5567.5134360228
151,5579.704063630863
152,5557.3415505374
153,5535.713352875202
154,5545.403023296732
155,5541.519313032418
156,5547.492456471833
157,5549.848716532434
158,5547.099452218364
159,5542.541772351433
160,5548.363624809044
161,5548.158341809252
162,5545.408991184359
163,5545.759568912552
164,5544.496816423689
165,5544.150992743454
166,5549.2251986828915
167,5542.492041548716
168,5553.600773184422
169,5549.668872495498
170,5540.031322854606
171,5562.4346660008305
172,5551.428542455418
173,5557.6324212315985
174,5559.472776839236
175,5554.35827015279
176,5555.126704715366
177,5555.144769697329
178,5559.203981927332
179,5549.744381468225
180,5530.444798231366
181,5528.723940177328
182,5535.835357224148
183,5531.8494339988065
184,5524.300842586768
185,5533.0501278555685
186,5548.262650109782
187,5539.916702637715
188,5537.318494442998
189,5549.681046986478
190,5535.632630352307
191,5528.99942784355
192,5551.2526951749105
193,5563.570379726832
194,5573.663206601916
195,5567.274972347162
196,5578.869723032921
197,5584.895967479427
198,5578.7514897472565
199,5574.858384205048
200,5561.125309595986
201,5587.368618222819
202,5583.070970180793
203,5591.3241424522
204,5588.776914823408
205,5603.54018327541
206,5638.03146490276
207,5639.458119862062
208,5598.265880245697
209,5602.372193923854
210,5624.619342994259
211,5624.127294803074
212,5621.980849181451
213,5584.52548809877
214,5600.615581867637
215,5584.205647025128
216,5502.976661917891
217,5513.422960170913
218,5510.779566434949
219,5498.332912924373
220,5533.220160636123
221,5531.550133391538
222,5496.656249129008
223,5511.545703874844
224,5497.175114058475
225,5507.044064590858
226,5516.71962004262
227,5536.048880372507
228,5526.883784758881
229,5485.639131676326
230,5565.442464611546
231,5572.806026931505
232,5578.927530202887
233,5555.8368492265345
234,5549.569709016883
235,5558.044287122818
236,5581.27324383725
237,5547.4790908452005
238,5547.829901008318
239,5601.169775198118
240,5582.8532351726735
241,5607.288705528845
242,5596.473414180516
243,5588.556099757464
244,5586.914789606698
245,5580.059224316019
246,5576.883525019257
247,5570.981433097886
248,5590.029922954156
249,5589.0348871286615
250,5588.59145708548
251,5571.399483197032
252,5583.299020313291
253,5578.310773206961
254,5585.478125095035
255,5581.547592685113
256,5581.610304847067
257,5567.33667840558
258,5573.756607722735
259,5569.323737981721
260,5588.697371738134
261,5570.165908286761
262,5568.29193673395
263,5582.123242571402
264,5552.913248380376
265,5575.649845232236
266,5586.809074880674
267,5585.604007459587
268,5578.992495939799
269,5576.619592933991
270,5577.389983425585
271,5583.53982206747
272,5577.909069284645
273,5566.853299397674
274,5577.602001766317
275,5570.491679080993
276,5574.428577135705
277,5579.421929968527
278,5551.850112761424
279,5581.26554267777
280,5613.887226592176
281,5616.554412211287
282,5612.145895734559
283,5591.683300913673
284,5607.262473988066
285,5600.0726474764415
286,5573.927825644178
287,5600.287324856046
288,5601.368102681375
289,5602.772882547952
290,5597.651284965911
291,5609.987791354489
292,5610.3466429435375
293,5594.689033721155
294,5589.378295964039
295,5593.24514298149
296,5597.287461979707
297,5597.023673599876
298,5601.645504136439
299,5612.593981718898
300,5597.886375560545
301,5583.200510017525
302,5607.157977183196
303,5611.7831329905
304,5614.092548800928
305,5595.214203340004
306,5585.871549694046
307,5593.079155980593
308,5607.639647328168
309,5581.34617703076
310,5594.310063688114
311,5577.863823372296
312,5583.1760554518705
313,5594.087142594572
314,5596.866024336505
315,5597.6268825059415
316,5593.387019119349
317,5593.324309014013
318,5596.901647130755
319,5597.944267539906
320,5589.713098052732
321,5582.498934875978
322,5594.767337049519
323,5597.419286680031
324,5602.287652612296
325,5596.132806756161
326,5599.3305282286055
327,5597.104804667428
328,5592.211045193296
329,5599.7449719909055
330,5595.198482440448
331,5594.364468156508
332,5593.715815123155
333,5599.0313032372405
334,5598.640295443253
335,5596.1130410302285
336,5588.818894475671
337,5593.18218550447
338,5595.105981255843
339,5589.313660211827
340,5589.862902211786
341,5590.923881552148
342,5597.854126106873
343,5583.647207765559
344,5591.028587154294
345,5590.40217386731
346,5594.596313312444
347,5591.91911740828
348,5587.8405504045995
349,5585.540169103306
350,5587.580102589499
351,5597.994793194194
352,5581.129235087192
353,5566.178041912666
354,5580.36212912219
355,5583.593176508743
356,5595.502336963935
357,5585.667267326852
358,5589.8568199983165
359,5581.408416419472
360,5582.240349241803
361,5580.66446580637
362,5576.058769982643
363,5584.901944950714
364,5589.53977283894
365,5573.906690473151
366,5580.484686391794
367,5584.185277026286
368,5600.566221646589
369,5600.877571570895
370,5601.788938202687
371,5598.035062696513
372,5600.794878235764
373,5602.380089903192
374,5595.391410234661
375,5594.081648786017
376,5593.389339670989
377,5591.122046565041
378,5586.092294145334
379,5588.9584470486125
380,5589.97515492933
381,5592.912085009221
382,5594.22521393588
383,5578.315961830838
384,5574.18819196888
385,5578.585893529436
386,5580.820261659746
387,5580.760176463311
388,5582.081984454684
389,5586.944483190034
390,5585.1661922500925
391,5578.76013158981
392,5582.493612917292
393,5579.715425886691
394,5580.771789606787
395,5581.616172170474
396,5575.080469666871
397,5580.364644674166
398,5583.042641997027
399,5578.365475219205
400,5578.228466395658
401,5585.054127530747
402,5580.853804873366
403,5583.628972140173
404,5578.0769771873065
405,5583.8372982959545
406,5586.366154342849
407,5582.766232567378
408,5582.221117913805
409,5578.43388186536
410,5579.2011844136305
411,5579.877573692237
412,5579.4440524790625
413,5576.763052754844
414,5581.2079116325
415,5582.426241964799
416,5576.174436058593
417,5576.354682494839
418,5579.199722974278
419,5576.496296936392
